names,len,tipo
tissue,342,Tissue
plasma_po,0,Tissue
plasma_re,0,Tissue
plasma_bl,0,Tissue
plasma_bl:plasma_po:plasma_re,0,Tissue
plasma_po:plasma_re,0,Tissue
tissue:plasma_bl:plasma_po:plasma_re,63,Tissue
plasma_bl:plasma_re,0,Tissue
plasma_bl:plasma_po,0,Tissue
tissue:plasma_po,13,Tissue
tissue:plasma_re,12,Tissue
tissue:plasma_po:plasma_re,9,Tissue
tissue:plasma_bl,8,Tissue
tissue:plasma_bl:plasma_po,6,Tissue
tissue:plasma_bl:plasma_re,5,Tissue
tissue,0,Plasma-BL
plasma_po,0,Plasma-BL
plasma_re,0,Plasma-BL
plasma_bl,152,Plasma-BL
plasma_bl:plasma_po:plasma_re,135,Plasma-BL
plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_bl:plasma_po:plasma_re,63,Plasma-BL
plasma_bl:plasma_re,55,Plasma-BL
plasma_bl:plasma_po,28,Plasma-BL
tissue:plasma_po,0,Plasma-BL
tissue:plasma_re,0,Plasma-BL
tissue:plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_bl,8,Plasma-BL
tissue:plasma_bl:plasma_po,6,Plasma-BL
tissue:plasma_bl:plasma_re,5,Plasma-BL
tissue,0,Plasma-PO
plasma_po,224,Plasma-PO
plasma_re,0,Plasma-PO
plasma_bl,0,Plasma-PO
plasma_bl:plasma_po:plasma_re,135,Plasma-PO
plasma_po:plasma_re,77,Plasma-PO
tissue:plasma_bl:plasma_po:plasma_re,63,Plasma-PO
plasma_bl:plasma_re,0,Plasma-PO
plasma_bl:plasma_po,28,Plasma-PO
tissue:plasma_po,13,Plasma-PO
tissue:plasma_re,0,Plasma-PO
tissue:plasma_po:plasma_re,9,Plasma-PO
tissue:plasma_bl,0,Plasma-PO
tissue:plasma_bl:plasma_po,6,Plasma-PO
tissue:plasma_bl:plasma_re,0,Plasma-PO
tissue,0,Plasma-RE
plasma_po,0,Plasma-RE
plasma_re,189,Plasma-RE
plasma_bl,0,Plasma-RE
plasma_bl:plasma_po:plasma_re,135,Plasma-RE
plasma_po:plasma_re,77,Plasma-RE
tissue:plasma_bl:plasma_po:plasma_re,63,Plasma-RE
plasma_bl:plasma_re,55,Plasma-RE
plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_po,0,Plasma-RE
tissue:plasma_re,12,Plasma-RE
tissue:plasma_po:plasma_re,9,Plasma-RE
tissue:plasma_bl,0,Plasma-RE
tissue:plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_bl:plasma_re,5,Plasma-RE
