names,len,tipo
plasma_bl:plasma_po:plasma_re,0,Tissue
plasma_re,0,Tissue
plasma_bl,0,Tissue
plasma_po:plasma_re,0,Tissue
tissue:plasma_bl:plasma_po:plasma_re,236,Tissue
plasma_bl:plasma_re,0,Tissue
plasma_po,0,Tissue
tissue:plasma_re,100,Tissue
tissue,95,Tissue
plasma_bl:plasma_po,0,Tissue
tissue:plasma_po:plasma_re,20,Tissue
tissue:plasma_bl:plasma_re,19,Tissue
tissue:plasma_bl,9,Tissue
tissue:plasma_bl:plasma_po,5,Tissue
tissue:plasma_po,2,Tissue
plasma_bl:plasma_po:plasma_re,686,Plasma-BL
plasma_re,0,Plasma-BL
plasma_bl,385,Plasma-BL
plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_bl:plasma_po:plasma_re,236,Plasma-BL
plasma_bl:plasma_re,207,Plasma-BL
plasma_po,0,Plasma-BL
tissue:plasma_re,0,Plasma-BL
tissue,0,Plasma-BL
plasma_bl:plasma_po,95,Plasma-BL
tissue:plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_bl:plasma_re,19,Plasma-BL
tissue:plasma_bl,9,Plasma-BL
tissue:plasma_bl:plasma_po,5,Plasma-BL
tissue:plasma_po,0,Plasma-BL
plasma_bl:plasma_po:plasma_re,686,Plasma-PO
plasma_re,0,Plasma-PO
plasma_bl,0,Plasma-PO
plasma_po:plasma_re,286,Plasma-PO
tissue:plasma_bl:plasma_po:plasma_re,236,Plasma-PO
plasma_bl:plasma_re,0,Plasma-PO
plasma_po,148,Plasma-PO
tissue:plasma_re,0,Plasma-PO
tissue,0,Plasma-PO
plasma_bl:plasma_po,95,Plasma-PO
tissue:plasma_po:plasma_re,20,Plasma-PO
tissue:plasma_bl:plasma_re,0,Plasma-PO
tissue:plasma_bl,0,Plasma-PO
tissue:plasma_bl:plasma_po,5,Plasma-PO
tissue:plasma_po,2,Plasma-PO
plasma_bl:plasma_po:plasma_re,686,Plasma-RE
plasma_re,654,Plasma-RE
plasma_bl,0,Plasma-RE
plasma_po:plasma_re,286,Plasma-RE
tissue:plasma_bl:plasma_po:plasma_re,236,Plasma-RE
plasma_bl:plasma_re,207,Plasma-RE
plasma_po,0,Plasma-RE
tissue:plasma_re,100,Plasma-RE
tissue,0,Plasma-RE
plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_po:plasma_re,20,Plasma-RE
tissue:plasma_bl:plasma_re,19,Plasma-RE
tissue:plasma_bl,0,Plasma-RE
tissue:plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_po,0,Plasma-RE
