names,len,tipo
tissue,384,Tissue
plasma_re,0,Tissue
tissue:plasma_re,103,Tissue
plasma_bl:plasma_po:plasma_re,0,Tissue
plasma_bl,0,Tissue
plasma_po,0,Tissue
tissue:plasma_bl:plasma_po:plasma_re,48,Tissue
plasma_bl:plasma_po,0,Tissue
plasma_bl:plasma_re,0,Tissue
plasma_po:plasma_re,0,Tissue
tissue:plasma_bl:plasma_re,9,Tissue
tissue:plasma_po,7,Tissue
tissue:plasma_bl,7,Tissue
tissue:plasma_bl:plasma_po,4,Tissue
tissue:plasma_po:plasma_re,2,Tissue
tissue,0,Plasma-BL
plasma_re,0,Plasma-BL
tissue:plasma_re,0,Plasma-BL
plasma_bl:plasma_po:plasma_re,97,Plasma-BL
plasma_bl,71,Plasma-BL
plasma_po,0,Plasma-BL
tissue:plasma_bl:plasma_po:plasma_re,48,Plasma-BL
plasma_bl:plasma_po,28,Plasma-BL
plasma_bl:plasma_re,24,Plasma-BL
plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_bl:plasma_re,9,Plasma-BL
tissue:plasma_po,0,Plasma-BL
tissue:plasma_bl,7,Plasma-BL
tissue:plasma_bl:plasma_po,4,Plasma-BL
tissue:plasma_po:plasma_re,0,Plasma-BL
tissue,0,Plasma-PO
plasma_re,0,Plasma-PO
tissue:plasma_re,0,Plasma-PO
plasma_bl:plasma_po:plasma_re,97,Plasma-PO
plasma_bl,0,Plasma-PO
plasma_po,68,Plasma-PO
tissue:plasma_bl:plasma_po:plasma_re,48,Plasma-PO
plasma_bl:plasma_po,28,Plasma-PO
plasma_bl:plasma_re,0,Plasma-PO
plasma_po:plasma_re,22,Plasma-PO
tissue:plasma_bl:plasma_re,0,Plasma-PO
tissue:plasma_po,7,Plasma-PO
tissue:plasma_bl,0,Plasma-PO
tissue:plasma_bl:plasma_po,4,Plasma-PO
tissue:plasma_po:plasma_re,2,Plasma-PO
tissue,0,Plasma-RE
plasma_re,178,Plasma-RE
tissue:plasma_re,103,Plasma-RE
plasma_bl:plasma_po:plasma_re,97,Plasma-RE
plasma_bl,0,Plasma-RE
plasma_po,0,Plasma-RE
tissue:plasma_bl:plasma_po:plasma_re,48,Plasma-RE
plasma_bl:plasma_po,0,Plasma-RE
plasma_bl:plasma_re,24,Plasma-RE
plasma_po:plasma_re,22,Plasma-RE
tissue:plasma_bl:plasma_re,9,Plasma-RE
tissue:plasma_po,0,Plasma-RE
tissue:plasma_bl,0,Plasma-RE
tissue:plasma_bl:plasma_po,0,Plasma-RE
tissue:plasma_po:plasma_re,2,Plasma-RE
