names,len,tipo
plasma_bl:plasma_po:plasma_re,0,Tissue
plasma_bl,0,Tissue
tissue,395,Tissue
plasma_re,0,Tissue
tissue:plasma_bl:plasma_po:plasma_re,180,Tissue
plasma_bl:plasma_re,0,Tissue
tissue:plasma_bl:plasma_po,118,Tissue
plasma_bl:plasma_po,0,Tissue
plasma_po,0,Tissue
plasma_po:plasma_re,0,Tissue
tissue:plasma_bl,16,Tissue
tissue:plasma_bl:plasma_re,15,Tissue
tissue:plasma_re,8,Tissue
tissue:plasma_po,7,Tissue
tissue:plasma_po:plasma_re,7,Tissue
plasma_bl:plasma_po:plasma_re,588,Plasma-BL
plasma_bl,448,Plasma-BL
tissue,0,Plasma-BL
plasma_re,0,Plasma-BL
tissue:plasma_bl:plasma_po:plasma_re,180,Plasma-BL
plasma_bl:plasma_re,166,Plasma-BL
tissue:plasma_bl:plasma_po,118,Plasma-BL
plasma_bl:plasma_po,118,Plasma-BL
plasma_po,0,Plasma-BL
plasma_po:plasma_re,0,Plasma-BL
tissue:plasma_bl,16,Plasma-BL
tissue:plasma_bl:plasma_re,15,Plasma-BL
tissue:plasma_re,0,Plasma-BL
tissue:plasma_po,0,Plasma-BL
tissue:plasma_po:plasma_re,0,Plasma-BL
plasma_bl:plasma_po:plasma_re,588,Plasma-PO
plasma_bl,0,Plasma-PO
tissue,0,Plasma-PO
plasma_re,0,Plasma-PO
tissue:plasma_bl:plasma_po:plasma_re,180,Plasma-PO
plasma_bl:plasma_re,0,Plasma-PO
tissue:plasma_bl:plasma_po,118,Plasma-PO
plasma_bl:plasma_po,118,Plasma-PO
plasma_po,109,Plasma-PO
plasma_po:plasma_re,104,Plasma-PO
tissue:plasma_bl,0,Plasma-PO
tissue:plasma_bl:plasma_re,0,Plasma-PO
tissue:plasma_re,0,Plasma-PO
tissue:plasma_po,7,Plasma-PO
tissue:plasma_po:plasma_re,7,Plasma-PO
plasma_bl:plasma_po:plasma_re,588,Plasma-RE
plasma_bl,0,Plasma-RE
tissue,0,Plasma-RE
plasma_re,280,Plasma-RE
tissue:plasma_bl:plasma_po:plasma_re,180,Plasma-RE
plasma_bl:plasma_re,166,Plasma-RE
tissue:plasma_bl:plasma_po,0,Plasma-RE
plasma_bl:plasma_po,0,Plasma-RE
plasma_po,0,Plasma-RE
plasma_po:plasma_re,104,Plasma-RE
tissue:plasma_bl,0,Plasma-RE
tissue:plasma_bl:plasma_re,15,Plasma-RE
tissue:plasma_re,8,Plasma-RE
tissue:plasma_po,0,Plasma-RE
tissue:plasma_po:plasma_re,7,Plasma-RE
