Mixture;B cells naive;B cells memory;Plasma cells;T cells CD8;T cells CD4 naive;T cells CD4 memory resting;T cells CD4 memory activated;T cells follicular helper;T cells regulatory (Tregs);T cells gamma delta;NK cells resting;NK cells activated;Monocytes;Macrophages M0;Macrophages M1;Macrophages M2;Dendritic cells resting;Dendritic cells activated;Mast cells resting;Mast cells activated;Eosinophils;Neutrophils;P-value;Correlation;RMSE
;;;;;;;;;;;;;;;;;;;;;;;;;
EP104;0.116520884;0;0.049598199;0.063229789;0;0.199096938;0.007668942;0.049294594;0;0;0.085703434;0;0.03438958;0.148220677;0.010969483;0.06293932;0.118319793;0;0.030690669;0.016843363;0.006514334;0;0;0.439836679;0.898263268
;;;;;;;;;;;;;;;;;;;;;;;;;
EP107;0.013402219;0.209220725;0.159969934;0.082672605;0;0.018612164;0.162933269;0.03933186;0;0;0;0.044723932;0.013459849;0.093733206;0.0172002;0.028513263;0.013560462;0.007978554;0;0.060369518;0.033659424;0.000658816;0;0.582566605;0.8183776
;;;;;;;;;;;;;;;;;;;;;;;;;
EP13;0.043382237;0.011106442;0.022646285;0.080635757;0;0.308203459;0.214983171;0;0;0;0.069048445;0;0.008589571;0.097316935;0.01597867;0.03701109;0.026738962;5.45E-05;0.040042979;0;0.012625233;0.011636229;18;0.229849004;0.993850463
;;;;;;;;;;;;;;;;;;;;;;;;;
EP136;0.009752165;0.062835562;0.039910161;0.101327279;0;0.090429436;0.005425943;0.065591165;0;0;0.002747968;0.000849779;0.014042064;0.149968529;0.012294126;0.087901161;0.004933656;0.01753208;0;0.24698644;0.056691538;0.030780946;0;0.527827008;0.851373674
;;;;;;;;;;;;;;;;;;;;;;;;;
EP150;0.022691847;0.064302555;0.042344818;0.036244442;0;0.125059728;0.018675273;0.033933061;0.002835805;0.002480341;0.037468548;0;0;0.281712656;0.02175773;0.095447485;0.008275387;0;0;0.152703862;0.043955246;0.010111216;2;0.405603673;0.914677159
;;;;;;;;;;;;;;;;;;;;;;;;;
EP185;0.024055779;0.070964759;0.121799021;0.02720262;0;0.033555893;0;0.247668491;0.082484416;0;0.041409843;0.031525185;0.042970773;0.120336916;0.007092984;0.041468643;0.017910082;0.007431939;0.030184973;0.018565369;0.031759883;0.001612433;0;0.438373291;0.898080654
;;;;;;;;;;;;;;;;;;;;;;;;;
EP189;0.024667345;0.014101947;0.017184818;0.027164959;0;0.308217387;0.030162932;0;0;0;0.093317988;0;0.038064167;0.222018158;0.005712004;0.131767076;0.013875431;0.016245113;0.00241672;0.02776851;0.027315446;0;2;0.403419981;0.915008851
;;;;;;;;;;;;;;;;;;;;;;;;;
EP204;0.003532403;0.304576829;0;0.074073144;0;0.206180739;0.053194921;0.000342353;0;0;0.017871071;0;0.026959563;0.073586542;0.012664183;0.024086522;0.0586586;0;0;0.137009851;0.007263277;0;0;0.523016219;0.855345269
;;;;;;;;;;;;;;;;;;;;;;;;;
EP242;0.181972292;0;0.070726856;0.033082226;0;0.202307477;0.036199034;0.023036771;0;0;0.087671474;0;0.106665332;0.080485022;0.014658877;0.038124046;0.015828958;0.017552635;0.047732026;0.029008821;0.014948152;0;2;0.38424807;0.922802983
;;;;;;;;;;;;;;;;;;;;;;;;;
EP243;0.006250744;0.045944238;0.05192692;0.021898965;0;0.226312203;0.037884342;0.004617614;0;0.010478708;0.010508996;0;0.001026251;0.190631224;0.00887772;0.048947981;0.068421252;0;0;0.217686037;0.041739419;0.006847385;0;0.543779005;0.844235252
;;;;;;;;;;;;;;;;;;;;;;;;;
EP259;0.05208915;0.037659522;0.083451231;0.064126492;0.00509952;0.106894801;0;0.06988314;0;0.042779093;0;0.107168155;0.098467229;0.036767649;0.020633047;0.088572917;0.028148908;0.022221163;0;0.106906166;0.027650492;0.001481324;6;0.324462201;0.950788407
;;;;;;;;;;;;;;;;;;;;;;;;;
EP261;0.112353318;0.018452645;0.011645651;0.106305299;0;0.166512068;0.05737085;0.021979014;0;0;0.035805314;0;0.009315987;0.16167854;0.019590652;0.106606591;0.016558953;0;0.00861983;0.089796628;0.051566827;0.005841833;0;0.585581548;0.829166248
;;;;;;;;;;;;;;;;;;;;;;;;;
EP48;0.104409206;0.143025961;0.045647573;0.065514025;0;0.156082153;0;0.056774509;0.020994948;0;0.03357341;0.003309696;0.03577817;0.124798409;0.01870428;0.043023098;0.009990955;0;0;0.100536489;0.037837117;0;0;0.473092858;0.880886729
;;;;;;;;;;;;;;;;;;;;;;;;;
EP49;0.106810235;0;0.055509505;0.061186742;0;0.233112269;0.087960202;0.028048955;0;0;0.051495908;0;0.003127743;0.138667643;0.011599181;0.075539014;0.01060832;0.002373748;0.037216471;0.063327436;0.026720683;0.006695943;4;0.357301845;0.934683183
;;;;;;;;;;;;;;;;;;;;;;;;;
EP63;0.05017901;0.053240054;0.047483858;0.015917748;0.055575695;0.138165271;0;0.039975831;0.000533983;0;0.101815152;0;0.037863143;0.292539018;0.017538065;0.060702347;0;0;0;0.07588134;0.007062438;0.005527049;0;0.587923509;0.821611363
;;;;;;;;;;;;;;;;;;;;;;;;;
EP8;0.021824383;0.043259852;0.109031059;0.07673656;0;0.148754442;0.032688937;0.035555365;0;0;0.065934881;0;0.01368604;0.120459129;0.006388448;0.072304757;0.0215755;0.021705591;0;0.12641127;0.061223829;0.022459957;4;0.369632918;0.929276524
