SAMPLE_TYPE	TMB	dN/dS
PLASMA_BASELINE	10.0555555555556	0.734
PLASMA_BASELINE	31.3611111111111	0.71403
PLASMA_BASELINE	24.5833333333333	0.7635
PLASMA_BASELINE	5.02777777777778	0.8179
PLASMA_BASELINE	7.02777777777778	0.7657
PLASMA_BASELINE	10.6388888888889	0.66343
PLASMA_BASELINE	4.38888888888889	0.621
PLASMA_BASELINE	7.05555555555556	0.6913
PLASMA_BASELINE	13.3888888888889	0.63832
PLASMA_BASELINE	7.04	0.573989889532934
PLASMA_BASELINE	7.75	0.66442
PLASMA_BASELINE	7.36	0.654274172176227
PLASMA_RELAPSE	8.88888888888889	0.652
PLASMA_RELAPSE	11.3333333333333	0.747
PLASMA_RELAPSE	8.41666666666667	0.881
PLASMA_RELAPSE	9.38888888888889	0.904
PLASMA_RELAPSE	10.3611111111111	0.82
PLASMA_RELAPSE	14.25	0.735
PLASMA_RELAPSE	49.8055555555556	0.851
PLASMA_RELAPSE	9.3333333333333	0.72
PLASMA_RELAPSE	3.72222222222222	0.709
PLASMA_RELAPSE	6.91666666666667	0.676
PLASMA_RELAPSE	6.88888888888889	0.6436
PLASMA_RELAPSE	4.63888888888889	0.66324
PLASMA_RELAPSE	8.63888888888889	0.6671
PLASMA_RELAPSE	5.22222222222222	0.6671
PLASMA_RELAPSE	13.9444444444444	0.593
PLASMA_RELAPSE	7.56	0.639821737476419
PLASMA_RELAPSE	8.61	0.651705450190053
PLASMA_RELAPSE	17.8888888888889	0.772
PLASMA_RELAPSE	8.08333333333333	0.7668
PLASMA_RELAPSE	9.5277777777778	0.745
PLASMA_RELAPSE	28.1944444444444	0.8561
PLASMA_RELAPSE	9.3611111111111	0.7764
PLASMA_RELAPSE	9.8055555555556	0.83356
PLASMA_RELAPSE	8.27777777777778	0.7964
PLASMA_RELAPSE	8.483	0.569995260523025
