GENE	COUNT	TYPE	LOG_COUNT	DIFF	LOG2	pvalue
CCDC30	21	RELAPSE	1.32221929473	20	4.39231742278	0.000314098022833
ARL10	20	RELAPSE	1.30102999566	17	2.73696559417	0.000921188381735
C16orf71	17	RELAPSE	1.23044892138	16	4.08746284125	0.000921188381735
CHERP	33	RELAPSE	1.51851393988	17	1.04439411936	0.001228104414404
DHX37	22	RELAPSE	1.34242268082	20	3.45943161864	0.001517144864283
MBTPS2	16	RELAPSE	1.20411998266	15	4	0.001585604873133
CCDC57	18	RELAPSE	1.2552725051	16	3.16992500144	0.001585604873133
TMBIM4	16	RELAPSE	1.20411998266	14	3	0.002741021773386
ATR	31	RELAPSE	1.49136169383	23	1.95419631039	0.003240834571519
FAM83D	17	RELAPSE	1.23044892138	16	4.08746284125	0.003548620686755
HLA-B	59	RELAPSE	1.77085201164	27	0.882643049362	0.003686447022816
CELF3	22	RELAPSE	1.34242268082	20	3.45943161864	0.004734628953867
DZANK1	19	RELAPSE	1.27875360095	14	1.92599941856	0.004763576802837
MAP3K4	29	RELAPSE	1.4623979979	24	2.53605290024	0.005294489946467
KIAA0040	50	RELAPSE	1.69897000434	21	0.785875194647	0.005625027705754
DLX6	82	RELAPSE	1.91381385238	21	0.426814667055	0.006507946482913
ZNF717	504	RELAPSE	2.70243053645	56	0.169925001442	0.006764661996793
DMD	10	RELAPSE	1	9	3.32192809489	0.008334144577817
HAUS8	2	RELAPSE	0.301029995664	-10	-2.58496250072	0.008334144577817
TRIM26	2	RELAPSE	0.301029995664	-10	-2.58496250072	0.008334144577817
ARMC4	18	RELAPSE	1.2552725051	9	1	0.008334144577817
MEX3B	15	RELAPSE	1.17609125906	-25	-1.41503749928	0.008651249852578
FASN	23	RELAPSE	1.36172783602	11	0.938599455336	0.0091663569114
SOX11	33	RELAPSE	1.51851393988	15	0.874469117916	0.009205528940766
APOC1	14	RELAPSE	1.14612803568	13	3.80735492206	0.010380729532933
KRTAP4-9	45	RELAPSE	1.65321251378	-15	-0.415037499279	0.011866216879385
NLGN2	29	RELAPSE	1.4623979979	22	2.05062607307	0.012643830673814
MIS18BP1	30	RELAPSE	1.47712125472	20	1.58496250072	0.013090770271738
