ID;TMB_PLASMA;TMB_PLASMA1;dnds_PLASMA;dnds_PLASMA1
M1;6.32017665669918;9.36392965393695;0.9569;0.9592
M10;8.26027279648254;5.96517089312897;0.8701;0.9361
M11;4.94569213266525;7.91950492068504;0.8465;0.8549
M12;7.43003846561524;7.26276443323354;0.8428;0.9245
M13;5.23680103991726;6.61838232331304;0.9177;0.9176
M14;7.72835896859656;8.11379317052026;0.9498;0.9361
M15;7.14333402691308;5.04659756451202;0.9058;0.8494
M2;5.54237041030418;6.92062997996422;0.8316;0.8273
M3;5.79287206217542;6.29816308663262;0.8369;0.8939
M4;6.02245342707712;9.14046571676049;0.9308;0.9317
M5;5.33481285476505;7.06459057818918;0.8951;0.8794
M6;7.18292221822336;7.31940877549699;0.8638;0.8352
M7;9.34451862045069;9.26108852449925;0.8881;0.8933
M8;11.7705823553918;11.3611723621471;0.9166;1.0079
M9;11.0141936056641;10.0790841594365;0.9803;1.0087
