TIPO;TMB;SAMPLE;INS
Tissue-Baseline;9.50158127558197;ET-M10;Validation Cohort
Tissue-Baseline;7.89078738565005;ET-M11;Validation Cohort
Tissue-Baseline;9.46342452525792;ET-M12;Validation Cohort
Tissue-Baseline;6.10332433733843;ET-M13;Validation Cohort
Tissue-Baseline;10.4401580323166;ET-M14;Validation Cohort
Tissue-Baseline;11.6340889082271;ET-M15;Validation Cohort
Tissue-Baseline;12.9675707835556;ET-M1;Validation Cohort
Tissue-Baseline;7.72078099677154;ET-M2;Validation Cohort
Tissue-Baseline;7.96297870676073;ET-M3;Validation Cohort
Tissue-Baseline;10.232499709948;ET-M4;Validation Cohort
Tissue-Baseline;9.16227885598527;ET-M5;Validation Cohort
Tissue-Baseline;7.5;ET-M6;Validation Cohort
Tissue-Baseline;2.15798084514545;ET-M7;Validation Cohort
Tissue-Baseline;5.96117293356689;ET-M8;Validation Cohort
Tissue-Baseline;8.51007448029005;ET-M9;Validation Cohort
Plasma-Baseline;8.26027279648254;EPDx-M10;Validation Cohort
Plasma-Baseline;4.94569213266525;EPDx-M11;Validation Cohort
Plasma-Baseline;7.43003846561524;EPDx-M12;Validation Cohort
Plasma-Baseline;5.23680103991726;EPDx-M13;Validation Cohort
Plasma-Baseline;7.72835896859656;EPDx-M14;Validation Cohort
Plasma-Baseline;7.14333402691308;EPDx-M15;Validation Cohort
Plasma-Baseline;6.32017665669918;EPDx-M1;Validation Cohort
Plasma-Baseline;5.54237041030418;EPDx-M2;Validation Cohort
Plasma-Baseline;5.79287206217542;EPDx-M3;Validation Cohort
Plasma-Baseline;6.02245342707712;EPDx-M4;Validation Cohort
Plasma-Baseline;5.33481285476505;EPDx-M5;Validation Cohort
Plasma-Baseline;7.18292221822336;EPDx-M6;Validation Cohort
Plasma-Baseline;9.34451862045069;EPDx-M7;Validation Cohort
Plasma-Baseline;11.7705823553918;EPDx-M8;Validation Cohort
Plasma-Baseline;11.0141936056641;EPDx-M9;Validation Cohort
Plasma-Baseline;8.26027279648254;EPDx-M10;Validation Cohort
Plasma-PO;7.85371262680648;EP-PO-M10;Validation Cohort
Plasma-PO;5.01559851137036;EP-PO-M11;Validation Cohort
Plasma-PO;6.59618251364262;EP-PO-M12;Validation Cohort
Plasma-PO;5.66601806498762;EP-PO-M13;Validation Cohort
Plasma-PO;6.27728379041727;EP-PO-M14;Validation Cohort
Plasma-PO;6.66997071076903;EP-PO-M15;Validation Cohort
Plasma-PO;5.56110213703701;EP-PO-M1;Validation Cohort
Plasma-PO;4.20192924763705;EP-PO-M2;Validation Cohort
Plasma-PO;4.74275688802925;EP-PO-M3;Validation Cohort
Plasma-PO;5.00924135457122;EP-PO-M5;Validation Cohort
Plasma-PO;5.87226008623984;EP-PO-M6;Validation Cohort
Plasma-PO;8.73020861706511;EP-PO-M7;Validation Cohort
Plasma-PO;10.6330032834269;EP-PO-M8;Validation Cohort
Plasma-PO;9.79874297949906;EP-PO-M9;Validation Cohort
Plasma-Relapse;9.36392965393695;EP-M10;Validation Cohort
Plasma-Relapse;5.96517089312897;EP-M11;Validation Cohort
Plasma-Relapse;7.91950492068504;EP-M12;Validation Cohort
Plasma-Relapse;7.26276443323354;EP-M13;Validation Cohort
Plasma-Relapse;6.61838232331304;EP-M14;Validation Cohort
Plasma-Relapse;8.11379317052026;EP-M15;Validation Cohort
Plasma-Relapse;5.04659756451202;EP-M1;Validation Cohort
Plasma-Relapse;6.92062997996422;EP-M2;Validation Cohort
Plasma-Relapse;6.29816308663262;EP-M3;Validation Cohort
Plasma-Relapse;9.14046571676049;EP-M4;Validation Cohort
Plasma-Relapse;7.06459057818918;EP-M5;Validation Cohort
Plasma-Relapse;7.31940877549699;EP-M6;Validation Cohort
Plasma-Relapse;9.26108852449925;EP-M7;Validation Cohort
Plasma-Relapse;11.3611723621471;EP-M8;Validation Cohort
Plasma-Relapse;10.0790841594365;EP-M9;Validation Cohort
Tissue-Baseline;7.25;ET107;Discovery Cohort
Tissue-Baseline;10.06;ET138;Discovery Cohort
Tissue-Baseline;8.39;ET158;Discovery Cohort
Tissue-Baseline;6.28;ET161;Discovery Cohort
Tissue-Baseline;31.36;ET185;Discovery Cohort
Tissue-Baseline;2.44;ET204;Discovery Cohort
Tissue-Baseline;24.58;ET207;Discovery Cohort
Tissue-Baseline;5.03;ET242;Discovery Cohort
Tissue-Baseline;7.03;ET243;Discovery Cohort
Tissue-Baseline;4;ET8;Discovery Cohort
Tissue-Baseline;10.64;ET85;Discovery Cohort
Tissue-Baseline;4.39;ET261;Discovery Cohort
Tissue-Baseline;6.53;ET107;Discovery Cohort
Tissue-Baseline;7.06;ET138;Discovery Cohort
Tissue-Baseline;13.39;ET158;Discovery Cohort
Tissue-Baseline;7.28;ET161;Discovery Cohort
Tissue-Baseline;7.23;ET185;Discovery Cohort
Tissue-Baseline;0.97;ET204;Discovery Cohort
Tissue-Baseline;5.42;ET207;Discovery Cohort
Tissue-Baseline;4.08;ET242;Discovery Cohort
Tissue-Baseline;63.08;ET243;Discovery Cohort
Tissue-Baseline;5.14;ET8;Discovery Cohort
Tissue-Baseline;5.42;ET85;Discovery Cohort
Tissue-Baseline;7.75;ET261;Discovery Cohort
Tissue-Baseline;7.86;ET107;Discovery Cohort
Plasma-Baseline;10.06;ET107;Discovery Cohort
Plasma-Baseline;31.36;ET138;Discovery Cohort
Plasma-Baseline;40.58;ET158;Discovery Cohort
Plasma-Baseline;5.03;ET161;Discovery Cohort
Plasma-Baseline;7.03;ET185;Discovery Cohort
Plasma-Baseline;10.64;ET204;Discovery Cohort
Plasma-Baseline;4.39;ET207;Discovery Cohort
Plasma-Baseline;7.06;ET242;Discovery Cohort
Plasma-Baseline;13.39;ET243;Discovery Cohort
Plasma-Baseline;7.04;ET8;Discovery Cohort
Plasma-Baseline;7.75;;Discovery Cohort
Plasma-Baseline;7.36;;Discovery Cohort
Plasma-Relapse;8.89;;Discovery Cohort
Plasma-Relapse;11.33;;Discovery Cohort
Plasma-Relapse;8.42;;Discovery Cohort
Plasma-Relapse;9.39;;Discovery Cohort
Plasma-Relapse;10.36;;Discovery Cohort
Plasma-Relapse;14.25;;Discovery Cohort
Plasma-Relapse;49.81;;Discovery Cohort
Plasma-Relapse;9.33;;Discovery Cohort
Plasma-Relapse;3.72;;Discovery Cohort
Plasma-Relapse;6.92;;Discovery Cohort
