Samples	Signature	Percentage
EPDx107	SBS1	0.043576940535633
EPDx138	SBS1	0.068200493015612
EPDx158	SBS1	0.130106419498798
EPDx161	SBS1	0.010496850944717
EPDx185	SBS1	0.072659176029963
EPDx204	SBS1	0.073346693386774
EPDx207	SBS1	0.032051282051282
EPDx242	SBS1	0.05812356979405
EPDx243	SBS1	0.055758683729433
EPDx261	SBS1	0.088182632050134
EPDx8	SBS1	0.041953232462173
EPDx85	SBS1	0.050440744368266
EPDx107	SBS5	0.665910122560145
EPDx138	SBS5	0.453574363188168
EPDx158	SBS5	0.62169584620666
EPDx161	SBS5	0.880335899230231
EPDx185	SBS5	0.637453183520599
EPDx204	SBS5	0.57875751503006
EPDx207	SBS5	0.479059829059829
EPDx242	SBS5	0.538672768878719
EPDx243	SBS5	0.505941499085923
EPDx261	SBS5	0.911817367949866
EPDx8	SBS5	0.614855570839065
EPDx85	SBS5	0.582761998041136
EPDx107	SBS15	0.164775306400363
EPDx138	SBS15	0.244042728019721
EPDx158	SBS15	0.248197734294542
EPDx161	SBS15	0.109167249825052
EPDx185	SBS15	0
EPDx204	SBS15	0.118236472945892
EPDx207	SBS15	0.120512820512821
EPDx242	SBS15	0.147368421052632
EPDx243	SBS15	0.131170018281536
EPDx261	SBS15	0
EPDx8	SBS15	0.1292984869326
EPDx85	SBS15	0.139569049951028
EPDx107	SBS43	0.125737630503858
EPDx138	SBS43	0
EPDx158	SBS43	0
EPDx161	SBS43	0
EPDx185	SBS43	0
EPDx204	SBS43	0
EPDx207	SBS43	0.132478632478632
EPDx242	SBS43	0
EPDx243	SBS43	0.103747714808044
EPDx261	SBS43	0
EPDx8	SBS43	0
EPDx85	SBS43	0
EPDx107	SBS46	0
EPDx138	SBS46	0.2341824157765
EPDx158	SBS46	0
EPDx161	SBS46	0
EPDx185	SBS46	0.289887640449438
EPDx204	SBS46	0.229659318637275
EPDx207	SBS46	0.235897435897436
EPDx242	SBS46	0.255835240274599
EPDx243	SBS46	0.203382084095064
EPDx261	SBS46	0
EPDx8	SBS46	0.213892709766162
EPDx85	SBS46	0.227228207639569
